Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20
,,,,,,,,,,,,,,,,,,,
1,,,Novak Djokovic,34,"10,340",13,400,0,,,,,,,,,,,
2,,,Daniil Medvedev,25,"9,540",23,"2,500",0,,,,,,,,,,,
3,,,Stefanos Tsitsipas,23,"7,840",26,"1,300",90,,,,,,,,,,,
4,,,Alexander Zverev,24,"7,180",23,"1,000",0,,,,,,,,,,,
5,,,Rafael Nadal,35,"5,635",13,760,0,,,,,,,,,,,
6,,,Andrey Rublev,24,"5,150",28,200,45,,,,,,,,,,,
7,,,Matteo Berrettini,25,"4,768",22,200,5,,,,,,,,,,,
8,,,Casper Ruud,22,"3,670",34,0,0,,,,,,,,,,,
9,2,,Jannik Sinner,20,"3,395",41,0,0,,,,,,,,,,,
10,,,Hubert Hurkacz,24,"3,366",31,0,0,,,,,,,,,,,
11,1,,Felix Auger-Aliassime,21,"3,263",28,0,0,,,,,,,,,,,
12,3,,Dominic Thiem,28,"3,225",16,800,0,,,,,,,,,,,
13,1,,Cameron Norrie,26,"2,900",29,0,0,,,,,,,,,,,
14,1,,Roger Federer,40,"2,785",9,400,0,,,,,,,,,,,
15,1,,Diego Schwartzman,29,"2,760",26,180,46,,,,,,,,,,,
16,3,,Aslan Karatsev,28,"2,392",43,0,0,,,,,,,,,,,
17,1,,Pablo Carreno Busta,30,"2,365",25,180,10,,,,,,,,,,,
18,1,,Cristian Garin,25,"2,353",30,0,0,,,,,,,,,,,
19,6,,Denis Shapovalov,22,"2,348",28,0,0,,,,,,,,,,,
20,,,Roberto Bautista Agut,33,"2,260",26,0,0,,,,,,,,,,,
21,4,,Nikoloz Basilashvili,29,"2,101",33,0,0,,,,,,,,,,,
22,1,,Gael Monfils,35,"2,078",23,0,0,,,,,,,,,,,
23,3,,John Isner,36,"1,991",18,0,0,,,,,,,,,,,
24,,,Daniel Evans,31,"1,917",32,0,0,,,,,,,,,,,
25,2,,Reilly Opelka,24,"1,891",27,0,0,,,,,,,,,,,
26,2,,Taylor Fritz,24,"1,890",34,0,0,,,,,,,,,,,
27,4,,Lorenzo Sonego,26,"1,860",36,45,10,,,,,,,,,,,
28,7,,Marin Cilic,33,"1,755",27,90,10,,,,,,,,,,,
29,,,Ugo Humbert,23,"1,728",37,180,10,,,,,,,,,,,
30,8,,Grigor Dimitrov,30,"1,721",24,0,0,,,,,,,,,,,
31,1,,Karen Khachanov,25,"1,706",29,0,0,,,,,,,,,,,
32,,,Alex de Minaur,22,"1,676",30,90,10,,,,,,,,,,,
33,2,,Lloyd Harris,24,"1,649",32,20,15,,,,,,,,,,,
34,1,,Dusan Lajovic,31,"1,566",34,0,0,,,,,,,,,,,
35,7,,Carlos Alcaraz,18,"1,529",26,0,0,,,,,,,,,,,
36,2,,Alexander Bublik,24,"1,516",38,0,0,,,,,,,,,,,
37,1,,Fabio Fognini,34,"1,484",29,0,0,,,,,,,,,,,
38,1,,David Goffin,30,"1,481",26,10,5,,,,,,,,,,,
39,1,,Sebastian Korda,21,"1,474",41,100,10,,,,,,,,,,,
40,1,,Marton Fucsovics,29,"1,439",31,35,10,,,,,,,,,,,
41,8,,Frances Tiafoe,23,"1,422",31,0,0,,,,,,,,,,,
42,2,,Filip Krajinovic,29,"1,402",27,0,0,,,,,,,,,,,
43,2,,Federico Delbonis,31,"1,370",34,83,40,,,,,,,,,,,
44,1,,Albert Ramos-Vinolas,33,"1,294",40,0,0,,,,,,,,,,,
45,,,Alejandro Davidovich Fokina,22,"1,255",35,115,10,,,,,,,,,,,
46,,,Ilya Ivashka,27,"1,253",31,35,20,,,,,,,,,,,
47,3,,Benoit Paire,32,"1,245",41,0,0,,,,,,,,,,,
48,1,,Milos Raonic,30,"1,244",15,360,0,,,,,,,,,,,
49,1,,Kei Nishikori,31,"1,210",19,0,0,,,,,,,,,,,
50,3,,Jan-Lennard Struff,31,"1,156",32,45,23,,,,,,,,,,,
51,1,,Laslo Djere,26,"1,137",35,26,20,,,,,,,,,,,
52,3,,Soonwoo Kwon,23,"1,115",35,0,0,,,,,,,,,,,
53,1,,Tommy Paul,24,"1,103",35,74,40,,,,,,,,,,,
54,2,,Mackenzie McDonald,26,"1,089",36,0,0,,,,,,,,,,,
55,4,,James Duckworth,29,"1,076",38,0,0,,,,,,,,,,,
56,3,,Jenson Brooksby,21,"1,048",24,0,0,,,,,,,,,,,
57,3,,Marcos Giron,28,"1,034",35,115,20,,,,,,,,,,,
58,4,,Dominik Koepfer,27,"1,015",39,0,0,,,,,,,,,,,
59,9,,Adrian Mannarino,33,"1,004",37,90,10,,,,,,,,,,,
60,3,,Benjamin Bonzi,25,"1,004",48,45,10,,,,,,,,,,,
61,3,,Stan Wawrinka,36,"1,002",15,180,0,,,,,,,,,,,
62,3,,Arthur Rinderknech,26,"1,000",55,0,0,,,,,,,,,,,
63,6,,Botic van de Zandschulp,26,999,36,0,0,,,,,,,,,,,
64,6,,Pedro Martinez,24,996,42,0,0,,,,,,,,,,,
65,5,,Brandon Nakashima,20,992,31,0,0,,,,,,,,,,,
66,2,,Gianluca Mager,26,959,43,16,15,,,,,,,,,,,
67,,,Lorenzo Musetti,19,958,49,0,0,,,,,,,,,,,
68,3,,Jordan Thompson,27,930,33,90,20,,,,,,,,,,,
69,4,,Miomir Kecmanovic,22,926,36,45,10,,,,,,,,,,,
70,4,,Borna Coric,24,919,17,45,0,,,,,,,,,,,
71,6,,Alexei Popyrin,22,912,33,18,6,,,,,,,,,,,
72,2,,Federico Coria,29,903,48,26,10,,,,,,,,,,,
73,16,,John Millman,32,900,39,0,0,,,,,,,,,,,
74,2,,Richard Gasquet,35,899,29,45,23,,,,,,,,,,,
75,4,,Roberto Carballes Baena,28,882,45,0,0,,,,,,,,,,,
76,15,,Kevin Anderson,35,874,22,45,0,,,,,,,,,,,
77,3,,Guido Pella,31,866,27,0,0,,,,,,,,,,,
78,3,,Jaume Munar,24,866,37,80,12,,,,,,,,,,,
79,2,,Facundo Bagnis,31,860,38,15,10,,,,,,,,,,,
80,2,,Yoshihito Nishioka,26,852,30,45,10,,,,,,,,,,,
81,2,,Stefano Travaglia,29,850,48,55,34,,,,,,,,,,,
82,10,,Emil Ruusuvuori,22,846,45,0,0,,,,,,,,,,,
83,1,,Corentin Moutet,22,832,28,45,10,,,,,,,,,,,
84,2,,Peter Gojowczyk,32,822,32,9,5,,,,,,,,,,,
85,9,,Juan Manuel Cerundolo,19,819,48,29,5,,,,,,,,,,,
86,8,,Jiri Vesely,28,817,42,0,0,,,,,,,,,,,
87,1,,Steve Johnson,31,812,31,0,0,,,,,,,,,,,
88,1,,Tallon Griekspoor,25,812,37,0,0,,,,,,,,,,,
89,1,,Denis Kudla,29,807,41,0,0,,,,,,,,,,,
90,2,,Pablo Andujar,35,800,38,0,0,,,,,,,,,,,
91,,,Nick Kyrgios,26,793,13,0,0,,,,,,,,,,,
92,3,,Marco Cecchinato,29,774,37,35,20,,,,,,,,,,,
93,3,,Tennys Sandgren,30,773,35,10,10,,,,,,,,,,,
94,3,,Thiago Monteiro,27,773,41,0,0,,,,,,,,,,,
95,2,,Carlos Taberner,24,764,41,0,0,,,,,,,,,,,
96,4,,Pablo Cuevas,35,760,28,0,0,,,,,,,,,,,
97,4,,Mikael Ymer,23,757,30,0,0,,,,,,,,,,,
98,5,,Henri Laaksonen,29,751,36,0,0,,,,,,,,,,,
99,5,,Pierre-Hugues Herbert,30,748,33,45,10,,,,,,,,,,,
100,1,,Ricardas Berankis,31,739,30,0,0,,,,,,,,,,,
101,3,,Andreas Seppi,37,734,36,0,0,,,,,,,,,,,
102,4,,Daniel Elahi Galan,25,725,43,0,0,,,,,,,,,,,
103,4,,Hugo Gaston,21,722,41,0,0,,,,,,,,,,,
104,5,,Feliciano Lopez,40,720,29,45,7,,,,,,,,,,,
105,18,,Jeremy Chardy,34,718,24,0,0,,,,,,,,,,,
106,5,,Daniel Altmaier,23,717,52,0,0,,,,,,,,,,,
107,9,,Dennis Novak,28,716,35,110,10,,,,,,,,,,,
108,6,,Sam Querrey,34,715,19,0,0,,,,,,,,,,,
109,1,,Aljaz Bedene,32,715,24,0,0,,,,,,,,,,,
110,2,,Norbert Gombos,31,715,40,115,8,,,,,,,,,,,
111,1,,Sebastian Baez,20,706,41,7,5,,,,,,,,,,,
112,7,,Egor Gerasimov,28,705,37,40,10,,,,,,,,,,,
113,28,,Vasek Pospisil,31,697,25,23,0,,,,,,,,,,,
114,,,Alex Molcan,23,694,45,0,0,,,,,,,,,,,
115,2,,Francisco Cerundolo,23,690,42,0,0,,,,,,,,,,,
116,1,,Andrej Martin,32,662,52,15,15,,,,,,,,,,,
117,2,,Philipp Kohlschreiber,38,658,19,0,0,,,,,,,,,,,
118,3,,Holger Vitus Nodskov Rune,18,645,45,0,0,,,,,,,,,,,
119,1,,Kamil Majchrzak,25,641,34,18,10,,,,,,,,,,,
120,2,,Gilles Simon,36,629,36,10,5,,,,,,,,,,,
121,3,,Liam Broady,27,616,42,77,17,,,,,,,,,,,
122,3,,Bernabe Zapata Miralles,24,607,47,0,0,,,,,,,,,,,
123,8,,Kyle Edmund,26,601,16,0,0,,,,,,,,,,,
124,3,,Yannick Hanfmann,29,589,39,16,10,,,,,,,,,,,
125,5,,Taro Daniel,28,586,41,0,0,,,,,,,,,,,
126,9,,Oscar Otte,28,582,35,5,4,,,,,,,,,,,
127,4,,Radu Albot,31,575,37,61,6,,,,,,,,,,,
128,1,,Juan Pablo Varillas,26,567,42,0,0,,,,,,,,,,,
129,1,,Hugo Dellien,28,546,37,15,9,,,,,,,,,,,
130,,,Attila Balazs,33,537,24,0,0,,,,,,,,,,,
131,2,,Tomas Martin Etcheverry,22,526,50,0,0,,,,,,,,,,,
132,6,,Thiago Seyboth Wild,21,525,41,29,3,,,,,,,,,,,
133,8,,Maxime Cressy,24,517,41,15,6,,,,,,,,,,,
134,2,,Tomas Machac,21,513,34,0,0,,,,,,,,,,,
135,1,,Jozef Kovalik,28,513,35,0,0,,,,,,,,,,,
136,2,,Zdenek Kolar,25,507,55,48,14,,,,,,,,,,,
137,5,,Alex Bolt,28,506,28,0,0,,,,,,,,,,,
138,1,,Nikola Milojevic,26,502,39,0,0,,,,,,,,,,,
139,3,,Salvatore Caruso,28,492,40,35,16,,,,,,,,,,,
140,9,,Jurij Rodionov,22,485,42,8,2,,,,,,,,,,,
141,2,,Pedro Sousa,33,481,34,0,0,,,,,,,,,,,
142,3,,Tomas Barrios Vera,23,479,41,0,0,,,,,,,,,,,
143,3,,Damir Dzumhur,29,477,35,65,7,,,,,,,,,,,
144,12,,Andy Murray,34,476,15,0,0,,,,,,,,,,,
145,8,,Yuichi Sugita,33,473,31,48,3,,,,,,,,,,,
146,2,,Quentin Halys,25,470,40,29,7,,,,,,,,,,,
147,1,,Christopher O'Connell,27,467,39,48,7,,,,,,,,,,,
148,1,,Mitchell Krueger,27,457,40,0,0,,,,,,,,,,,
149,,,Emilio Gomez,29,455,48,0,0,,,,,,,,,,,
150,23,,Joao Sousa,32,449,37,0,0,,,,,,,,,,,
151,,,Federico Gaio,29,446,53,0,0,,,,,,,,,,,
152,1,,Lucas Pouille,27,440,31,0,0,,,,,,,,,,,
153,1,,Jack Sock,29,438,18,0,0,,,,,,,,,,,
154,4,,Illya Marchenko,34,435,40,0,0,,,,,,,,,,,
155,1,,Mats Moraing,29,433,42,0,0,,,,,,,,,,,
156,5,,Ernesto Escobedo,25,432,37,15,5,,,,,,,,,,,
157,1,,Juan Ignacio Londero,28,427,28,0,0,,,,,,,,,,,
158,2,,Cem Ilkel,26,426,43,0,0,,,,,,,,,,,
159,36,,J.J. Wolf,22,419,20,7,0,,,,,,,,,,,
160,4,,Altug Celikbilek,25,419,44,0,0,,,,,,,,,,,
161,4,,Gregoire Barrere,27,418,32,7,6,,,,,,,,,,,
162,40,,Nicolas Jarry,26,416,34,0,0,,,,,,,,,,,
163,,,Kacper Zuk,22,416,41,20,6,,,,,,,,,,,
164,3,,Jiri Lehecka,19,414,42,0,0,,,,,,,,,,,
165,21,,Fernando Verdasco,37,411,28,0,0,,,,,,,,,,,
166,11,,Roman Safiullin,24,411,41,8,7,,,,,,,,,,,
167,1,,Elias Ymer,25,409,39,0,0,,,,,,,,,,,
168,2,,Antoine Hoang,25,408,44,0,0,,,,,,,,,,,
169,5,,Alejandro Tabilo,24,407,45,0,0,,,,,,,,,,,
170,1,,Evgeny Donskoy,31,403,41,18,6,,,,,,,,,,,
171,9,,Dmitry Popko,25,401,52,0,0,,,,,,,,,,,
172,,,Bjorn Fratangelo,28,400,29,0,0,,,,,,,,,,,
