Column 1;name;age
;;
1;Novak Djokovic;34
2;Daniil Medvedev;25
3;Alexander Zverev;24
4;Stefanos Tsitsipas;23
5;Andrey Rublev;24
6;Rafael Nadal;35
7;Matteo Berrettini;25
8;Casper Ruud;22
9;Hubert Hurkacz;24
10;Jannik Sinner;20
11;Felix Auger-Aliassime;21
12;Cameron Norrie;26
13;Diego Schwartzman;29
14;Dominic Thiem;28
15;Aslan Karatsev;28
16;Roger Federer;40
17;Cristian Garin;25
18;Denis Shapovalov;22
19;Roberto Bautista Agut;33
20;Pablo Carreno Busta;30
21;Gael Monfils;35
22;Nikoloz Basilashvili;29
23;Taylor Fritz;24
24;John Isner;36
25;Reilly Opelka;24
26;Daniel Evans;31
27;Lorenzo Sonego;26
28;Grigor Dimitrov;30
29;Karen Khachanov;25
30;Marin Cilic;33
31;Lloyd Harris;24
32;Carlos Alcaraz;18
33;Alex de Minaur;22
34;Dusan Lajovic;31
35;Ugo Humbert;23
36;Alexander Bublik;24
37;Fabio Fognini;34
38;David Goffin;30
39;Sebastian Korda;21
40;Marton Fucsovics;29
41;Frances Tiafoe;23
42;Filip Krajinovic;29
43;Federico Delbonis;31
44;Albert Ramos-Vinolas;33
45;Ilya Ivashka;27
46;Benoit Paire;32
47;James Duckworth;29
48;Kei Nishikori;31
49;Alejandro Davidovich Fokina;22
50;Jan-Lennard Struff;31
51;Laslo Djere;26
52;Tommy Paul;24
53;Soonwoo Kwon;23
54;Dominik Koepfer;27
55;Mackenzie McDonald;26
56;Jenson Brooksby;21
57;Marcos Giron;28
58;Lorenzo Musetti;19
59;Alexei Popyrin;22
60;Arthur Rinderknech;26
61;Botic van de Zandschulp;26
62;Pedro Martinez;24
63;Brandon Nakashima;20
64;Gianluca Mager;26
65;Benjamin Bonzi;25
66;Adrian Mannarino;33
67;Hugo Gaston;21
68;Miomir Kecmanovic;22
69;John Millman;32
70;Federico Coria;29
71;Milos Raonic;30
72;Tallon Griekspoor;25
73;Roberto Carballes Baena;28
74;Richard Gasquet;35
75;Borna Coric;24
76;Guido Pella;31
77;Jordan Thompson;27
78;Facundo Bagnis;31
79;Emil Ruusuvuori;22
80;Kevin Anderson;35
81;Stefano Travaglia;29
82;Yoshihito Nishioka;26
83;Stan Wawrinka;36
84;Jiri Vesely;28
85;Peter Gojowczyk;32
86;Steve Johnson;31
87;Denis Kudla;29
88;Pablo Andujar;35
89;Jaume Munar;24
90;Corentin Moutet;22
91;Juan Manuel Cerundolo;19
92;Nick Kyrgios;26
93;Mikael Ymer;23
94;Tennys Sandgren;30
95;Thiago Monteiro;27
96;Carlos Taberner;24
97;Pablo Cuevas;35
98;Marco Cecchinato;29
99;Henri Laaksonen;29
100;Andreas Seppi;37
101;Ricardas Berankis;31
102;Daniel Elahi Galan;25
103;Feliciano Lopez;40
104;Jeremy Chardy;34
105;Daniel Altmaier;23
106;Alex Molcan;23
107;Sam Querrey;34
108;Aljaz Bedene;32
109;Holger Vitus Nodskov Rune;18
110;Pierre-Hugues Herbert;30
111;Sebastian Baez;20
112;Francisco Cerundolo;23
113;Egor Gerasimov;28
114;Vasek Pospisil;31
115;Andrej Martin;32
116;Philipp Kohlschreiber;38
117;Kamil Majchrzak;25
118;Gilles Simon;36
119;Dennis Novak;28
120;Norbert Gombos;31
121;Bernabe Zapata Miralles;24
122;Kyle Edmund;26
123;Taro Daniel;28
124;Yannick Hanfmann;29
125;Oscar Otte;28
126;Juan Pablo Varillas;26
127;Liam Broady;27
128;Maxime Cressy;24
129;Tomas Martin Etcheverry;22
130;Hugo Dellien;28
131;Tomas Machac;21
132;Attila Balazs;33
133;Thiago Seyboth Wild;21
134;Radu Albot;31
135;Jozef Kovalik;29
136;Alex Bolt;28
137;Nikola Milojevic;26
138;Pedro Sousa;33
139;Zdenek Kolar;25
140;Alejandro Tabilo;24
141;Tomas Barrios Vera;23
